"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","view_history","key_press"
"1110.2600000449456","<p style=""font-size:30px;"">WELCOME!</p><br>","0","html-button-response","0","1112","0.0-0.0","",""
"4840.03500000108","","","instructions","1","6508","0.0-1.0","[{""page_index"":0,""viewing_time"":4839.449999970384}]",""
"3820","stimfiles/S_0.200_L_0.200_R_0.180.wav","","audio-keyboard-response","2","10878","0.0-2.0-0.0","","65"
"3942","stimfiles/S_0.200_L_0.180_R_0.200.wav","","audio-keyboard-response","3","15376","0.0-2.0-1.0","","65"
"3913","stimfiles/S_0.200_L_0.200_R_0.220.wav","","audio-keyboard-response","4","19845","0.0-2.0-2.0","","68"
"4586","stimfiles/S_0.200_L_0.220_R_0.200.wav","","audio-keyboard-response","5","24977","0.0-2.0-3.0","","68"
"4429","stimfiles/S_0.250_L_0.250_R_0.225.wav","","audio-keyboard-response","6","29953","0.0-2.0-4.0","","65"
"4696","stimfiles/S_0.250_L_0.225_R_0.250.wav","","audio-keyboard-response","7","35205","0.0-2.0-5.0","","65"
"5207","stimfiles/S_0.250_L_0.250_R_0.275.wav","","audio-keyboard-response","8","40963","0.0-2.0-6.0","","68"
"4603","stimfiles/S_0.250_L_0.275_R_0.250.wav","","audio-keyboard-response","9","46123","0.0-2.0-7.0","","68"
"5625","stimfiles/S_0.300_L_0.300_R_0.270.wav","","audio-keyboard-response","10","52305","0.0-2.0-8.0","","65"
"5300","stimfiles/S_0.300_L_0.270_R_0.300.wav","","audio-keyboard-response","11","58158","0.0-2.0-9.0","","68"
"5532","stimfiles/S_0.300_L_0.300_R_0.330.wav","","audio-keyboard-response","12","64247","0.0-2.0-10.0","","68"
"12150","stimfiles/S_0.300_L_0.330_R_0.300.wav","","audio-keyboard-response","13","76952","0.0-2.0-11.0","","65"
"5944","stimfiles/S_0.350_L_0.350_R_0.315.wav","","audio-keyboard-response","14","83446","0.0-2.0-12.0","","65"
"5875","stimfiles/S_0.350_L_0.315_R_0.350.wav","","audio-keyboard-response","15","89879","0.0-2.0-13.0","","65"
"7123","stimfiles/S_0.350_L_0.350_R_0.385.wav","","audio-keyboard-response","16","97559","0.0-2.0-14.0","","65"
"12939","stimfiles/S_0.350_L_0.385_R_0.350.wav","","audio-keyboard-response","17","111048","0.0-2.0-15.0","","65"
"6153","stimfiles/S_0.400_L_0.400_R_0.360.wav","","audio-keyboard-response","18","117753","0.0-2.0-16.0","","65"
"6902","stimfiles/S_0.400_L_0.360_R_0.400.wav","","audio-keyboard-response","19","125208","0.0-2.0-17.0","","68"
"6612","stimfiles/S_0.400_L_0.400_R_0.440.wav","","audio-keyboard-response","20","132377","0.0-2.0-18.0","","65"
"6647","stimfiles/S_0.400_L_0.440_R_0.400.wav","","audio-keyboard-response","21","139578","0.0-2.0-19.0","","65"
"7378","stimfiles/S_0.450_L_0.450_R_0.405.wav","","audio-keyboard-response","22","147513","0.0-2.0-20.0","","65"
"8028","stimfiles/S_0.450_L_0.405_R_0.450.wav","","audio-keyboard-response","23","156093","0.0-2.0-21.0","","65"
"7576","stimfiles/S_0.450_L_0.450_R_0.495.wav","","audio-keyboard-response","24","164223","0.0-2.0-22.0","","65"
"10350","stimfiles/S_0.450_L_0.495_R_0.450.wav","","audio-keyboard-response","25","175125","0.0-2.0-23.0","","65"
"10449","stimfiles/S_0.500_L_0.500_R_0.450.wav","","audio-keyboard-response","26","186123","0.0-2.0-24.0","","65"
"8429","stimfiles/S_0.500_L_0.450_R_0.500.wav","","audio-keyboard-response","27","195105","0.0-2.0-25.0","","68"
"7988","stimfiles/S_0.500_L_0.500_R_0.550.wav","","audio-keyboard-response","28","203644","0.0-2.0-26.0","","68"
"9950","stimfiles/S_0.500_L_0.550_R_0.500.wav","","audio-keyboard-response","29","214145","0.0-2.0-27.0","","68"
"4230.015000037383","<p style=""font-size:30px;"">Break!</p><p><br>Click &#39continue&#39 to proceed.</p>","0","html-button-response","30","218926","0.0-3.0","",""
